Row,Timestamp,Duration,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight,Event Group,Event Label,Event Text,Event Index,Gaze X,Gaze Y,Interpolated Gaze X,Interpolated Gaze Y,Interpolated Distance,Gaze Velocity,Gaze Acceleration,Fixation Index,Fixation Index by Stimulus,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,Saccade Index,Saccade Index by Stimulus,Saccade Start,Saccade End,Saccade Duration,Saccade Amplitude,Saccade Peak Velocity,Saccade Peak Acceleration,Saccade Peak Deceleration
1,10,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,125.01600000000326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,365.0,364.666666666667,622.313008626302,183.244292532163,,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
3,27,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,133.29200000000128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,319.0,329.33333333333303,622.439249674479,180.645601823139,-313.965290446317,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
4,35,,-1.0,-1.0,273.0,294.0,-1.0,-1.0,141.6389999999956,-1.0,622.5654907226562,-1.0,-1.0,0.4149968922138215,0.5229408740997314,4.0,0.0,,,,,273.0,294.0,273.0,294.0,622.565490722656,91.0154160024611,-10741.2290515522,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
5,43,,-1.0,-1.0,301.0,275.0,-1.0,-1.0,149.96199999999953,-1.0,622.6796264648438,-1.0,-1.0,0.41548460721969604,0.5229473114013672,4.0,0.0,,,,,301.0,275.0,301.0,275.0,622.679626464844,79.6514832146415,-1364.87302279842,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
6,52,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,158.3260000000009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,279.0,343.5,622.625,232.93893639713403,18297.299128926203,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
7,60,,-1.0,-1.0,257.0,412.0,-1.0,-1.0,166.63700000000244,-1.0,622.5703735351562,-1.0,-1.0,0.4159699976444245,0.5231096744537354,4.0,0.0,,,,,257.0,412.0,257.0,412.0,622.570373535156,313.528360425917,9714.953351108281,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
8,68,,-1.0,-1.0,99.0,440.0,-1.0,-1.0,174.99199999999837,-1.0,622.4570922851562,-1.0,-1.0,0.41650742292404175,0.5231028795242311,4.0,0.0,,,,,99.0,440.0,99.0,440.0,622.457092285156,144.198477450672,-20267.1346126519,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
9,77,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,183.28600000000733,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,225.0,495.5,622.315246582031,420.739184616622,33345.476675583595,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
10,85,,-1.0,-1.0,351.0,551.0,-1.0,-1.0,191.63000000000463,-1.0,622.1734008789064,-1.0,-1.0,0.4168720245361328,0.5232498049736023,4.0,0.0,,,,,351.0,551.0,351.0,551.0,622.173400878906,139.611372993318,-33686.5592569923,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
11,90,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,93,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,199.9520000000048,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,306.66666666666697,458.333333333333,621.998291015625,330.92985381496004,22987.273612443198,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
13,102,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,208.2839999999996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,262.33333333333303,365.666666666667,621.823181152344,323.400939848601,-903.7010234251152,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
14,110,,-1.0,-1.0,218.0,273.0,-1.0,-1.0,216.68400000000838,-1.0,621.6480712890625,-1.0,-1.0,0.4176185131072998,0.5231556296348572,4.0,0.0,,,,,218.0,273.0,218.0,273.0,621.6480712890631,117.161311703452,-24553.505898512798,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
15,118,,-1.0,-1.0,333.0,341.0,-1.0,-1.0,224.98500000000058,-1.0,621.3406372070312,-1.0,-1.0,0.41808241605758667,0.5230088233947754,4.0,0.0,,,,,333.0,341.0,333.0,341.0,621.340637207031,234.81970298373798,14174.6851167729,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
16,127,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,233.4049999999989,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,338.4,367.8,621.132495117188,88.7141841378526,-17350.9629772089,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
17,135,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,241.66100000000733,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,343.8,394.6,620.924353027344,89.7675860146089,127.593827051727,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
18,143,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,249.94900000000786,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,349.2,421.4,620.7162109375,89.5367988399399,-27.8493030854423,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
19,152,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,258.30299999999994,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,354.6,448.2,620.508068847656,89.45559558444141,-9.71842303347551,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
20,160,,-1.0,-1.0,360.0,475.0,-1.0,-1.0,266.6579999999958,-1.0,620.2999267578125,-1.0,-1.0,0.4192689657211304,0.5227323174476624,4.0,0.0,,,,,360.0,475.0,360.0,475.0,620.2999267578131,68.56842769071841,-2500.2894329263,,,,,,,,,1.0,,14.14715,164.1342,149.98705,3.16744998759194,420.739184616622,33345.476675583595,-33686.5592569923
21,168,,-1.0,-1.0,373.0,486.0,-1.0,-1.0,274.97299999999814,-1.0,620.0224609375,-1.0,-1.0,0.4198369085788727,0.5224815607070922,4.0,0.0,,,,,373.0,486.0,373.0,486.0,620.0224609375,25.420315797460603,-5188.06655122858,,,,,,,,,,,,,,,,,
22,177,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,283.27500000000873,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,363.5,490.0,619.714141845703,32.9457929958314,906.651229277355,,,,,,,,,2.0,1.0,172.44275,180.7811,8.338349999999991,,32.9457929958314,906.651229277355,
23,185,,-1.0,-1.0,354.0,494.0,-1.0,-1.0,291.6520000000018,-1.0,619.4058227539064,-1.0,-1.0,0.4203248023986816,0.5222845077514648,4.0,0.0,,,,,354.0,494.0,354.0,494.0,619.405822753906,18.4266462762689,-1733.3397067430499,,,,,,,,,,,,,,,,,
24,193,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,299.948000000004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,359.5,479.5,622.416107177734,50.826490710554886,3905.38372197947,,,,,,,,,3.0,2.0,189.1174,305.77455,116.65715,14.4432729641922,638.085796729788,44191.8641320889,-61397.5172835205
25,202,,365.0,465.0,-1.0,-1.0,4.55792236328125,-1.0,308.346000000005,625.4263916015625,-1.0,0.5566688776016235,0.5282089710235596,-1.0,-1.0,0.0,4.0,,,,,365.0,465.0,365.0,465.0,625.4263916015631,344.301846700175,34944.6145040806,,,,,,,,,3.0,2.0,189.1174,305.77455,116.65715,14.4432729641922,638.085796729788,44191.8641320889,-61397.5172835205
26,210,,-1.0,-1.0,241.0,296.0,-1.0,-1.0,316.62399999999616,-1.0,618.6024169921875,-1.0,-1.0,0.4213478565216065,0.5217535495758057,4.0,0.0,,,,,241.0,296.0,241.0,296.0,618.6024169921881,210.277589663697,-16186.3089861811,,,,,,,,,3.0,2.0,189.1174,305.77455,116.65715,14.4432729641922,638.085796729788,44191.8641320889,-61397.5172835205
