Row,Timestamp,Duration,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight,Event Group,Event Label,Event Text,Event Index,Gaze X,Gaze Y,Interpolated Gaze X,Interpolated Gaze Y,Interpolated Distance,Gaze Velocity,Gaze Acceleration,Fixation Index,Fixation Index by Stimulus,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,Saccade Index,Saccade Index by Stimulus,Saccade Start,Saccade End,Saccade Duration,Saccade Amplitude,Saccade Peak Velocity,Saccade Peak Acceleration,Saccade Peak Deceleration
1,10,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.31600000000617,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.62799999999693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,27,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99.96099999999569,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,108.31999999999245,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,44,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,116.65399999999501,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,52,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,124.95699999999485,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,61,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,133.33299999999872,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,69,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,141.62299999999232,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,74,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,77,,366.0,964.0,-1.0,-1.0,-1.0,-1.0,149.9539999999979,568.2210693359375,-1.0,0.6623984575271606,0.4401543140411377,-1.0,-1.0,0.0,4.0,,,,,366.0,964.0,366.0,964.0,568.2210693359381,,,,,,,,,,,,,,,,,,,
15,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,86,,440.0,1076.0,-1.0,-1.0,3.9666595458984375,-1.0,158.31900000000311,568.260009765625,-1.0,0.6625173091888428,0.4401252865791321,-1.0,-1.0,0.0,4.0,,,,,440.0,1076.0,440.0,1076.0,568.260009765625,257.838416250286,,,,,,,,,,1.0,1.0,81.6267,181.64675,100.02005,2.79559143622419,460.974723572696,32372.3873057546,-24874.2294715356
17,94,,-1.0,-1.0,515.0,929.0,-1.0,-1.0,166.61900000000603,-1.0,581.543212890625,-1.0,-1.0,0.4971608817577362,0.4212412238121033,4.0,0.0,,,,,515.0,929.0,515.0,929.0,581.543212890625,134.827870631124,-14822.6907045792,,,,,,,,,1.0,1.0,81.6267,181.64675,100.02005,2.79559143622419,460.974723572696,32372.3873057546,-24874.2294715356
18,103,,438.0,1063.0,470.0,927.0,-1.0,-1.0,175.04799999999523,568.2093505859375,581.5624389648438,0.6623423099517822,0.4401032328605652,0.4972221851348877,0.4212540984153748,0.0,0.0,,,,,454.0,995.0,454.0,995.0,574.885894775391,194.95909577641004,7133.08878459843,,,,,,,,,1.0,1.0,81.6267,181.64675,100.02005,2.79559143622419,460.974723572696,32372.3873057546,-24874.2294715356
19,111,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,183.346000000005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,,,,,,,415.5,992.4,571.541763305664,130.72579108011,-7742.31048361942,,,,,,,,,1.0,1.0,81.6267,181.64675,100.02005,2.79559143622419,460.974723572696,32372.3873057546,-24874.2294715356
